"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Page count","Cited by","DOI","Link","Abstract","Author Keywords","Index Keywords","Document Type","Publication Stage","Open Access","Source","EID"
"Panda R.; Lahoti S.; Mishra A.; Prabhu R.R.; Das S.; Satapathy D.M.; Nazareth I.","Panda, Rajmohan (7102877359); Lahoti, Supriya (57231618800); Mishra, Arti (57414263900); Prabhu, Rajath R (57415377300); Das, Sangeeta (58265065800); Satapathy, Durga Madhab (54882181800); Nazareth, Irwin (55334594200)","7102877359; 57231618800; 57414263900; 57415377300; 58265065800; 54882181800; 55334594200","Designing a mobile health smokeless tobacco cessation intervention in Odisha, India: User and provider perspectives","2023","Digital Health","9","","","","","","0","10.1177/20552076221150581","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85146288354&doi=10.1177%2f20552076221150581&partnerID=40&md5=59306a07522aaa48bf59ba56454c925b","Objective: There is limited evidence on the development of mobile health (mHealth) interventions for smokeless tobacco (SLT) cessation, despite its widespread use in South Asia. This formative qualitative study explored the perceptions of tobacco users and healthcare providers (HCPs) regarding developing a mHealth intervention for SLT cessation. Methods: This was a qualitative study using in-depth interviews (IDIs) with tobacco users (n = 26) and primary care physicians (PCPs) (n = 5) and focus group discussions (FGDs) with counsellors (n = 2) in four urban primary health centres (UPHCs) in Berhampur, Odisha from February to March 2020. The data were coded and analysed by two researchers using a framework analysis method. The discussion guides and initial codes were developed based on the Transtheoretical Model (TTM) of behaviour change. Results: The results were elaborated under four themes: (1) Current scenario of SLT use; (2) Barriers and facilitators for quitting SLT; (3) Barriers and facilitators for mHealth counselling; and (4) Design and delivery of the proposed intervention. SLT use was prevalent in the community regardless of sociodemographic factors. Peer factors accounted for both tobacco consumption as well as considering cessation. Participants considered mobile message counselling helpful and acceptable. Not having a mobile phone and illiteracy were identified as barriers while ease of access and rising popularity of social media applications were considered facilitators to the use of mHealth for quitting tobacco. Participants preferred messages that were pictorial, short and simple, in the local language, and tailored to individual's needs. Conclusions: This is the first study that provides evidence within the Indian context that the text messaging platform may be used for delivering an SLT cessation intervention. The integration of a theoretical basis and research findings from target users can guide future intervention development. © The Author(s) 2023.","India; intervention; mobile health; primary care; Qualitative research; smokeless tobacco","","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85146288354"
"Needamangalam Balaji J.; Prakash S.; Park Y.; Baek J.S.; Shin J.; Rajaguru V.; Surapaneni K.M.","Needamangalam Balaji, Jyotsna (57942800800); Prakash, Sreenidhi (57942800900); Park, Youngmok (57043720900); Baek, Joon Sang (56878250900); Shin, Jaeyong (36703142300); Rajaguru, Vasuki (57221603521); Surapaneni, Krishna Mohan (15069776300)","57942800800; 57942800900; 57043720900; 56878250900; 36703142300; 57221603521; 15069776300","A Scoping Review on Accentuating the Pragmatism in the Implication of Mobile Health (mHealth) Technology for Tuberculosis Management in India","2022","Journal of Personalized Medicine","12","10","1599","","","","3","10.3390/jpm12101599","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85140588422&doi=10.3390%2fjpm12101599&partnerID=40&md5=f58dba77edcf2e6455ddb45e6150ae6c","Background: India continues to share a colossal count of the global tuberculosis load, with a perturbing 19% spring in the reported cases in 2021. With the National Tuberculosis Elimination Program (NTEP) consolidated to bring this epidemic to an end by 2025, the rapidly growing mobile health technologies can be utilized to offer promising results. Even though the implementation of this novel strategy is escalating around the globe, its triumph is still sub optimal in India. Objectives: This scoping review intends to explore the available mobile health (mHealth) technologies and analyse the effectiveness of the same for tuberculosis management in India. Methods: An elaborate search in electronic databases, such as PubMed and Google scholar, using the key terms and focussing from the year 2015, provided very broad results focussing on mHealth interventions and their utilisation in TB management in India. Further selection of the inclusive publications was carried out based upon the eligibility requirements as formulated for this review, pertaining to the objective of this study. Results: The collaborate search yielded a total of 858 scientific research papers. After the filtering of the obtained results, a total of 45 articles were selected to be analysed for this review. Published manuscripts, articles in peer review and abstracts from reliable databases were included to obtain vast range of information. Conclusion: The extensive literature search showed a preponderance of mHealth intervention studies focusing on TB treatment and drug monitoring. There exists a paucity of mHealth applications targeted to educate the public and intercept this infectious disease. The scientific articles reviewed and analysed in this scoping review strongly recommend the demployment of mHealth applications to achieve the target of eradicating TB by 2025 in India. © 2022 by the authors.","chatbots; diagnosis; eHealth; electronic applications; follow up; mHealth; mHealth interventions; mobile apps; prevention; SMS based; software applications; TB management; tuberculosis in India","alpha fetoprotein; CA 19-9 antigen; carcinoembryonic antigen; desmin (protein); keratin; metadrenalin; monoclonal antibody HMB 45; transcription factor PAX8; vimentin; adrenal cancer; aged; artificial ventilation; blood pressure; carcinosarcoma; case report; clinical article; clinical feature; computer assisted tomography; coronary artery disease; diabetes mellitus; endocrine disease; excision; female; histology; histopathology; human; hypertension; immunohistochemistry; leukocyte count; outcome assessment; physical examination; psoas muscle; Review","Review","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85140588422"
"Ganesh R.; Rao R.; Deb K.S.; Bhad R.; Yadav D.","Ganesh, Ragul (57203925953); Rao, Ravindra (12243331000); Deb, Koushik Sinha (55521379200); Bhad, Roshan (55789741800); Yadav, Deepak (16557090800)","57203925953; 12243331000; 55521379200; 55789741800; 16557090800","Digital Capacity and Interest in mHealth Interventions Among Individuals on Opioid Agonist Maintenance Treatment: A Cross-Sectional Community-Based Study","2022","Indian Journal of Psychological Medicine","44","4","","354","358","4","2","10.1177/02537176211027239","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85111694485&doi=10.1177%2f02537176211027239&partnerID=40&md5=8733c414c78ab55d3897574a13ad1646","Background: Integrating mobile technologies in healthcare (mHealth) is helpful to manage various medical conditions. mHealth applications can bridge the gap in the management of patients with opioid use disorder (OUD). Research evaluating the feasibility of mHealth to address OUD is limited in developing countries. We aimed to assess the digital capacity and interest in mHealth interventions in patients maintained on opioid agonist treatment (OAT). Methods: 150 patients on OAT from a community drug treatment clinic in New Delhi, India, were included. We assessed the participants on their pattern of mobile and Internet use and their willingness to use mHealth technology to access health information and services related to OUD. Results: 88% of participants (n = 132) owned a mobile phone at assessment; 2.7% (n = 4) had never used a mobile phone in their lifetime. 70% (n = 105) participants had Internet access. 80% (n = 120) of participants showed interest in receiving text messages related to the management of OUD. 60% of participants showed a willingness to download and use applications for monitoring their substance use. Conclusions: In India, there is an interest among people on OAT to use mHealth interventions to manage their substance use. This population also has access to mobile phones and the necessary knowledge to install and run applications needed for various mHealth interventions. © 2022 Indian Psychiatric Society - South Zonal Branch.","mHealth; mobile technology; opioid agonist treatment; opioid use disorder","","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85111694485"
"Sangisetti B.R.; Pabboju S.","Sangisetti, Bhagya Rekha (57210827802); Pabboju, Suresh (56440253100)","57210827802; 56440253100","Deep Learning for Personal Activity Recognition Under More Complex and Different Placement Positions of Smart Phone","2023","International Journal of Advanced Computer Science and Applications","14","6","","352","352","0","0","10.14569/IJACSA.2023.0140639","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85164596896&doi=10.14569%2fIJACSA.2023.0140639&partnerID=40&md5=0bab9144c40e8a64c36aeaae4e2ff450","Personal Activity Recognition (PAR) is an indispensable research area as it is widely used in applications such as security, healthcare, gaming, surveillance and remote patient monitoring. With sensors introduced in smart phones, data collection for PAR made easy. However, PAR is non-trivial and difficult task due to bulk of data to be processed, complexity and sensor placement positions. Deep learning is found to be scalable and efficient in processing such data. However, the main problem with existing solutions is that, they could recognize up to 6 or 8 actions only. Besides, they suffer from accurate recognition of other actions and also deal with complexity and different placement positions of smart phone. To address this problem, in this paper, we proposed a framework named Robust Deep Personal Action Recognition Framework (RDPARF) which is based on enhanced Convolutional Neural Network (CNN) model which is trained to recognize 12 actions. RDPARF is realized with our proposed algorithm known as Enhanced CNN for Robust Personal Activity Recognition (ECNN-RPAR). This algorithm has provision for early stopping checkpoint to optimize resource consumption and faster convergence. Experiments are made with MHealth benchmark dataset collected from UCI repository. Our empirical results revealed that ECNN-RPAR could recognize 12 actions under more complex and different placement positions of smart phone besides outperforming the state of the art exhibiting highest accuracy with 96.25%. © 2023, International Journal of Advanced Computer Science and Applications. All Rights Reserved.","artificial intelligence; CNN; deep learning; Human activity recognition; MHealth dataset","Complex networks; Convolutional neural networks; Data handling; Deep learning; Patient monitoring; Pattern recognition; Smartphones; Action recognition; Activity recognition; Convolutional neural network; Data collection; Deep learning; Human activity recognition; Mhealth dataset; Placement position; Research areas; Smart phones; mHealth","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85164596896"
"Dewangan L.; Vaishnava A.R.","Dewangan, Laxmikant (57219327846); Vaishnava, Arpita Rani (57220930864)","57219327846; 57220930864","Energy-Efficient Smart Wearable IoT Device for the Application of Collapse Motion Detection and Alert","2023","IETE Journal of Research","69","2","","1133","1139","6","2","10.1080/03772063.2020.1859952","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85097880984&doi=10.1080%2f03772063.2020.1859952&partnerID=40&md5=d1a6a30e95d02c28ae72fd50b4b37564","As we know if anyone falls from a narrow height it is very critical especially for the people who are under 10 years or above 60 years of age. The age group under 10 years is very sensitive, if any child who falls can face injuries which will affect them in terms of mental and physical disability or fatal injuries can also be caused in some cases. Similar for the age group of above 60 is also crucial if they got any kind of injury due to falling and by the time if they didn’t get any medical treatment so it will cause a decisive loss for that person. In the present era we are living in the age of 4G and 3D technology which means in this era everyone is connected with each other by means of smart phone and internet, also the smart wearable devices, which will be connected with human beings and send a kind of information signal through the medium of internet which is commonly known as Internet of Things (IoT). According to this kind of technology we are able to rectify the injury causing by collapsing on the ground. In this paper, we proposed an energy-efficient smart wearable IoT device which is able to detect the motion of human body and based on that it will detect the collapsing motion and immediately take action by sending data to the cloud server via internet which will immediately send an SMS to the concerned person. Apart from that we also introduce one more feature which is panic alert, so if anyone who need any emergency support, this wearable device will send an SMS to the concerned person. Here we used ESP8266-01 for the communication channel, for the calculation of body motion we use ADXL335 and for the reduction of power we used ATTINY85 which will reduce the ample of energy and utilize the power intelligently which results in the long life of 220 mAh battery. Its battery back-up is approximately up to 3000 h which is extremely far better than all the previous existing approaches. © 2023 IETE.","Energy efficient; IoT; Smart; SMS; Wearable; WSN","Electric batteries; Energy efficiency; mHealth; Motion analysis; Smartphones; Wearable technology; Age groups; Energy efficient; Motion detection; Power; Smart; Smart wearables; SMS; Wearable; Wearable devices; WSN; Internet of things","Review","Final","","Scopus","2-s2.0-85097880984"
"Dharmale G.; Shirsath P.; Shinde A.; Sawant V.; Chougule A.","Dharmale, Gulbakshi (57189342275); Shirsath, Pratiksha (58138782200); Shinde, Abhishek (58137211300); Sawant, Vishwajeet (58138782300); Chougule, Aditi (58138557400)","57189342275; 58138782200; 58137211300; 58138782300; 58138557400","REMICARE—Medicine Intake Tracker and Healthcare Assistant","2023","Lecture Notes in Networks and Systems","540","","","273","283","10","0","10.1007/978-981-19-6088-8_25","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85149819013&doi=10.1007%2f978-981-19-6088-8_25&partnerID=40&md5=23c6c0f3af767def75ff548d6c5c64e4","An automated reminder mechanism is built in this Android-based application. It emphasizes the contact between doctors and patients. Patients can set a reminder to remind them when it is time to take their medicine. Multiple medications and timings, including date, time, and medicine description, can be programmed into the reminder by using image processing. Patients will be notified through a message within the system, as preferred by the patients. They have the option of looking for a doctor for assistance. In this COVID-19 pandemic situation where nurses have to remind the patients in the hospitals to take their medications, our application can be useful, alerting the patient every time of the day when he/she has to take the medicine and in what amounts. Also, all the necessary tests report and prescriptions can be saved on the cloud for later use. Patients will be provided with doctor contact information based on their availability. Also, patients will be notified of the expiry date of the medicine, and the former history of the medicines can be stored for further reference. The proposed system prioritizes a good user interface and easy navigation. Image processing will be accurate and efficient with the help of powerful CNN-RNN-CTC algorithm. It also emphasizes on a secure storage of the user’s data with the help of the RSA algorithm for encryption and the gravitational search algorithm for secure cloud access. We attempted to create a Medical Reminder System that is cost-effective, time-saving, and promotes medication adherence. © 2023, The Author(s), under exclusive license to Springer Nature Singapore Pte Ltd.","Android-based application; Cloud; CNN-RNN-CTC algorithm; COVID-19; Image processing; Medication adherence; Reminder system; RSA algorithm","Android (operating system); Cloud computing; Cost effectiveness; Cryptography; Digital storage; Image processing; mHealth; Mobile security; User interfaces; Android-based application; CNN-RNN-CTC algorithm; Images processing; IS costs; Medication adherence; Reminder systems; RSA algorithms; Search Algorithms; Secure storage; Test reports; COVID-19","Conference paper","Final","","Scopus","2-s2.0-85149819013"
"Lokesh S.; Chakraborty S.; Pulugu R.; Mittal S.; Pulugu D.; Muruganantham R.","Lokesh, S. (36632644200); Chakraborty, Sudeshna (57937804200); Pulugu, Revathy (57937804300); Mittal, Sonam (57937504800); Pulugu, Dileep (57539696200); Muruganantham, R. (57193128357)","36632644200; 57937804200; 57937804300; 57937504800; 57539696200; 57193128357","AI-based big data analytics model for medical applications","2022","Measurement: Sensors","24","","100534","","","","0","10.1016/j.measen.2022.100534","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85140410706&doi=10.1016%2fj.measen.2022.100534&partnerID=40&md5=66c901e5ca342af05a622f03283a4550","Today, people's daily lives depended on their mobile phones, facilitating many beneficial tasks. Mobile computing and cloud computing combine cloud-based mobile computing to improve their features and overcoming their disadvantages such as memory space, processor, and longer battery life. By combining the four “V's” of volume, variety, velocity and veracity, Big Data analytics tools allow the utility to be extracted through knowledge. This paper explores the development of interconnected healthcare systems and the contribution of mobile cloud applications and big data analysis. With the implementation of cloud computing in the healthcare system, inspiration and development of interconnected health - software and care services are given. Big Data services for the healthcare sector on a cloudlet-based mobile cloud computing platform. Big data analysis methods, equipment, and solutions are examined. We have concluded the development of interconnected medical systems using Big Data and mobile cloud computing. © 2022 The Authors","Big data analytics; Cloud computing; Health care; Mobile devices","Big data; Cloud analytics; Data Analytics; Data handling; Information analysis; Medical applications; mHealth; Mobile cloud computing; Analytic modeling; Big data analytic; Cloud-based; Cloud-computing; Daily lives; Data analytics; Healthcare systems; Memory space; Mobile clouds; Mobile-computing; Mobile computing","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85140410706"
"Agarwal P.; Alam M.","Agarwal, Preeti (57197344999); Alam, Mansaf (7401493088)","57197344999; 7401493088","A Lightweight Neuromorphic CNN for Human Activity Recognition on Edge Device","2023","Proceedings of the 7th International Conference on Intelligent Computing and Control Systems, ICICCS 2023","","","","632","637","5","0","10.1109/ICICCS56967.2023.10142696","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85163845151&doi=10.1109%2fICICCS56967.2023.10142696&partnerID=40&md5=21ca1872b26c9ca24ea42d4e079f49f9","Human activity recognition (HAR) is a rapidly growing field with numerous practical applications, such as healthcare, assistive living, and security. The majority of HAR applications are ideally suited for edge deployment. However, edge devices have limited memory and energy, making it challenging to deploy HAR tasks on them. To address this issue, a biological brain optimized neuromorphic Convolution Neural Network (biCNN-HAR) for HAR is developed. The performance of biCNN-HAR is evaluated on mHealth dataset, and its results are compared with baseline CNN models and state-of-the-art models. The findings demonstrate that biCNNHAR outperforms other models while utilizing fewer computational resources. © 2023 IEEE.","Convolution Neural Network (CNN); Edge computing; Human Activity Recognition (HAR); Neuromorphic computing","Edge computing; mHealth; Neural network models; Pattern recognition; Assistive living; Convolution neural network; Edge computing; Human activity recognition; Limited energies; Limited memory; Neuromorphic; Neuromorphic computing; Convolution","Conference paper","Final","","Scopus","2-s2.0-85163845151"
"Saranya A.; Naresh R.","Saranya, A. (57836825700); Naresh, R. (57191886362)","57836825700; 57191886362","Efficient Mobile Security for E Health Care Application in Cloud for Secure Payment Using Key Distribution","2023","Neural Processing Letters","55","1","","141","152","11","14","10.1007/s11063-021-10482-1","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85103382932&doi=10.1007%2fs11063-021-10482-1&partnerID=40&md5=c6e2cb7f51d7f15029ab93d403b7e24b","Through the growing attractiveness of the financial world, the e health care application has developed quicker than the previous period, such that mobile payment adore extraordinary fame and are occupying an ever-growing business. This is especially factual of mobile expenditures, which are interesting growing attention. Though, the occasion of various old-style financial misfortunes has visible the tasks in-built in virtual verification technology that is based on old-style methods of understanding the strong and steady growth of payment via mobile. In count, this technology guarantees data user account safety and confidentiality. In this paper, we propose a Secure Authentication Protocol (SAP) payment via mobile. To assurance trustworthy service, we use cryptographic techniques for attaining common authentication among the server as well as client, which can attack forged servers and fake workstations. Related to the styles presently used, the proposed method supports the safety of data user account data as well as distinct privacy during the payment business progression via mobile. To concurrently attain safety sturdiness and continue the practice suitability of payments via mobile within unconfident public communiqué systems is a critical matter for smart mobile device producers in addition to mobile data users. In this paper, we present a secure business method with key distribution cryptographic techniques for payments via mobile for the e health care application. The proposed method takes benefit of the advantages of payment using android and a refined key distribution cryptosystem to concurrently provide e health care business safety and attain payment efficiency in day to day life. With a properly defined challenger prototype and safety analysis, the proposed method is confirmed to be mutually correct and safe by using the key distribution method. It delivers robust business healthiness and communiqué safety to mobile data users for the duration of virtual payment dealings. Alternatively, the performance analysis demonstrations that our proposed transaction method has a low computation cost when compared to the previous papers. © 2021, The Author(s), under exclusive licence to Springer Science+Business Media, LLC, part of Springer Nature.","E health care; Key distribution; Mobile payment; Mutual authentication; Privacy; Safety; Security","Cryptography; Electronic money; Global system for mobile communications; mHealth; Mobile security; Cryptographic techniques; Data users; E-health care; Health care application; Key distribution; Mobile data; Mobile payment; Mutual authentication; Privacy; Security; Authentication","Article","Final","","Scopus","2-s2.0-85103382932"
"Tejeswara Kumar M.; Vikram G N.V.R.; Patel P.","Tejeswara Kumar, M. (58490326900); Vikram G, N.V.R. (57210292436); Patel, Punyaban (37049291200)","58490326900; 57210292436; 37049291200","Analysis of an IoT-Based SDN Smart Health Monitoring System","2023","Lecture Notes in Electrical Engineering","976 LNEE","","","325","334","9","0","10.1007/978-981-99-0412-9_28","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85164947159&doi=10.1007%2f978-981-99-0412-9_28&partnerID=40&md5=95e54f0b225441c1275d42e39ab938fa","Health specialists and scientists advocated for the use of IoT-based remote health monitoring devices to track the health of the senior citizens and critically challenged patients. However, such technologies may generate massive amounts of data, necessitating the security and privacy of that data. Various health monitoring system's (HMS) safety and privacy issues propose the management of a safety IoT-based health monitoring system, privacy, and dependable service delivery to patients and seniors to minimize and avoid health risk. High quality of life is dependent on good health. A continuous health care monitoring system is required for healthcare, and the data is stored in the cloud via a network, allowing doctors and nurses to provide patients with rapid treatment. IoT is the most recent developing technology for healthcare that is associated with electronic devices such as sensors and smart phones that have become part of everyday life. Sensors and wireless sensor networks (WSN) are used by the Internet of Things to interact with patients to recognize medical concerns and communicate with them. Sensors collect a vast amount of data that is physically linked to the patient. Integrate data in the cloud with the aid of Software Defined Networks (SDNs). SDN keeps track of sensitive information and ensures the safety of medical records. It will assist not just patients but also health care professionals in safeguarding particular patient data. SDN not only secures data but also prevents traffic from flowing from source to destination. This study intends to build a smart health care system with SDN by utilizing an IoT application to collect data via sensors and then stores it in the cloud. © 2023, The Author(s), under exclusive license to Springer Nature Singapore Pte Ltd.","HMS; SDN; WSN","Hospital data processing; Internet of things; mHealth; Patient treatment; Safety engineering; Sensitive data; Smartphones; Wireless sensor networks; Health monitoring devices; Health monitoring system; Privacy issue; Remote health monitoring; Safety issues; Security and privacy; Senior citizens; Service delivery; Software-defined networks; System safety; Health risks","Conference paper","Final","","Scopus","2-s2.0-85164947159"
